Ingrediente,Nº pizzas en proporción todas s,Cantidad en gramos(50 gr/pizza),Cantidad en kilos
Barbecued Chicken,102,5100,5.1
Red Peppers,681,34050,34.05
Green Peppers,206,10300,10.3
Tomatoes,1148,57400,57.4
Red Onions,805,40250,40.25
Barbecue Sauce,102,5100,5.1
Chicken,469,23450,23.45
Artichoke,324,16200,16.2
Spinach,381,19050,19.05
Garlic,1170,58500,58.5
Jalapeno Peppers,252,12600,12.6
Fontina Cheese,137,6850,6.85
Gouda Cheese,180,9000,9.0
Mushrooms,352,17600,17.6
Asiago Cheese,135,6750,6.75
Alfredo Sauce,40,2000,2.0
Pesto Sauce,108,5400,5.4
Corn,154,7700,7.7
Cilantro,154,7700,7.7
Chipotle Sauce,154,7700,7.7
Pineapple,197,9850,9.85
Thai Sweet Chilli Sauce,108,5400,5.4
Bacon,125,6250,6.25
Pepperoni,359,17950,17.95
Italian Sausage,39,1950,1.95
Chorizo Sausage,39,1950,1.95
Sliced Ham,90,4500,4.5
Mozzarella Cheese,454,22700,22.7
Capocollo,292,14600,14.6
Goat Cheese,149,7450,7.45
Oregano,63,3150,3.15
Anchovies,58,2900,2.9
Green Olives,238,11900,11.9
Kalamata Olives,135,6750,6.75
Feta Cheese,184,9200,9.2
Beef Chuck Roast,65,3250,3.25
Brie Carre Cheese,10,500,0.5
Prosciutto,65,3250,3.25
Caramelized Onions,10,500,0.5
Pears,10,500,0.5
Thyme,10,500,0.5
Nduja Salami,39,1950,1.95
Pancetta,39,1950,1.95
Friggitello Peppers,39,1950,1.95
Calabrese Salami,82,4100,4.1
Genoa Salami,62,3100,3.1
Prosciutto di San Daniele,56,2800,2.8
Arugula,56,2800,2.8
Coarse Sicilian Salami,71,3550,3.55
Luganega Sausage,71,3550,3.55
Onions,885,44250,44.25
Soppressata Salami,39,1950,1.95
Artichokes,226,11300,11.3
Peperoncini verdi,86,4300,4.3
Provolone Cheese,82,4100,4.1
Smoked Gouda Cheese,82,4100,4.1
Romano Cheese,82,4100,4.1
Blue Cheese,82,4100,4.1
Ricotta Cheese,98,4900,4.9
Gorgonzola Piccante Cheese,98,4900,4.9
Parmigiano Reggiano Cheese,98,4900,4.9
Eggplant,35,1750,1.75
Zucchini,92,4600,4.6
Sun-dried Tomatoes,72,3600,3.6
Plum Tomatoes,37,1850,1.85
